"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"FoPra_Sim.nlogo"
"experimentALL"
"08/31/2024 16:42:01:408 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","sharing-prob","commenting-prob","unfollow-prob","posts-frequency","seeing_Prob","rewiring-probability","follow-prob","seed","liking-prob","num-nodes","use-random-seed?","[step]","count turtles with [intent > 0.6] / count turtles","count turtles with [intent <= 0.4] / count turtles","count turtles with [intent > 0.4 and intent <= 0.6] / count turtles"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","0","0.241","0.24","0.519"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","1","0.3535749265426053","0.1616062683643487","0.48481880509304603"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","2","0.40117416829745595","0.1232876712328767","0.4755381604696673"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","3","0.44160942100098133","0.10794896957801767","0.450441609421001"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","4","0.47265625","0.087890625","0.439453125"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","5","0.5068359375","0.0732421875","0.419921875"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","6","0.5424390243902439","0.06439024390243903","0.3931707317073171"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","7","0.5491159135559921","0.060903732809430254","0.3899803536345776"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","8","0.5724137931034483","0.059113300492610835","0.36847290640394087"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","9","0.5866141732283464","0.05708661417322835","0.3562992125984252"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","10","0.6027531956735497","0.05801376597836775","0.3392330383480826"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","11","0.6088669950738916","0.05517241379310345","0.3359605911330049"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","12","0.6247544204322201","0.05206286836935167","0.3231827111984283"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","13","0.6341222879684418","0.04930966469428008","0.3165680473372781"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","14","0.6352015732546706","0.048180924287118974","0.3166175024582104"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","15","0.640117994100295","0.0471976401179941","0.31268436578171094"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","16","0.6446850393700787","0.04232283464566929","0.31299212598425197"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","17","0.6509803921568628","0.04215686274509804","0.30686274509803924"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","18","0.656188605108055","0.04027504911591356","0.30353634577603145"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","19","0.6679725759059746","0.039177277179236046","0.29285014691478944"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","20","0.6633954857703631","0.038272816486751716","0.2983316977428852"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","21","0.6751717369970559","0.03729146221786065","0.2875368007850834"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","22","0.6689453125","0.0341796875","0.296875"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","23","0.6752221125370188","0.034550839091806514","0.29022704837117475"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","24","0.6784313725490196","0.03235294117647059","0.28921568627450983"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","25","0.6882352941176471","0.03235294117647059","0.27941176470588236"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","26","0.6902654867256637","0.032448377581120944","0.27728613569321536"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","27","0.688298918387414","0.032448377581120944","0.27925270403146507"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","28","0.6986301369863014","0.03228962818003914","0.2690802348336595"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","29","0.6938174681059862","0.0323846908734053","0.27379784102060845"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","30","0.6981317600786627","0.03048180924287119","0.2713864306784661"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","31","0.6999012833168805","0.03060217176702863","0.2694965449160908"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","32","0.6986166007905138","0.030632411067193676","0.2707509881422925"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","33","0.702252693437806","0.02840352595494613","0.2693437806072478"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","34","0.704031465093412","0.02753195673549656","0.26843657817109146"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","35","0.703631010794897","0.02747791952894995","0.2688910696761531"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","36","0.7089478859390363","0.02753195673549656","0.2635201573254671"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","37","0.7155511811023622","0.0265748031496063","0.2578740157480315"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","38","0.7161100196463654","0.026522593320235755","0.25736738703339884"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","39","0.7172413793103448","0.02561576354679803","0.2571428571428571"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","40","0.7214076246334311","0.02346041055718475","0.25513196480938416"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","41","0.7251461988304093","0.023391812865497075","0.25146198830409355"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","42","0.7278978388998035","0.023575638506876228","0.24852652259332023"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","43","0.7271835132482827","0.023552502453385672","0.2492639842983317"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","44","0.7291462217860648","0.023552502453385672","0.24730127576054955"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","45","0.7345739471106758","0.023506366307541625","0.24191968658178256"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","46","0.7333333333333333","0.021568627450980392","0.24509803921568626"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","47","0.735812133072407","0.02054794520547945","0.2436399217221135"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","48","0.736328125","0.0205078125","0.2431640625"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","49","0.7384464110127827","0.01966568338249754","0.24188790560471976"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","50","0.7421259842519685","0.01968503937007874","0.23818897637795275"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","51","0.7423795476892822","0.01966568338249754","0.23795476892822026"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","52","0.7384007897334649","0.019743336623889437","0.2418558736426456"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","53","0.7381889763779528","0.018700787401574805","0.24311023622047245"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","54","0.7411764705882353","0.018627450980392157","0.24019607843137256"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","55","0.7374631268436578","0.018682399213372666","0.24385447394296952"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","56","0.7396856581532416","0.019646365422396856","0.2406679764243615"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","57","0.7455795677799607","0.019646365422396856","0.23477406679764243"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","58","0.7485265225933202","0.019646365422396856","0.2318271119842829"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","59","0.742409402546523","0.019588638589618023","0.23800195886385897"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","60","0.7490196078431373","0.0196078431372549","0.23137254901960785"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","61","0.7514734774066798","0.018664047151277015","0.22986247544204322"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","62","0.753921568627451","0.018627450980392157","0.22745098039215686"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","63","0.7492654260528894","0.01860920666013712","0.23212536728697356"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","64","0.7519607843137255","0.01764705882352941","0.23039215686274508"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","65","0.7485265225933202","0.018664047151277015","0.23280943025540274"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","66","0.75049115913556","0.01768172888015717","0.2318271119842829"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","67","0.7480237154150198","0.017786561264822136","0.2341897233201581"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","68","0.7541625857002938","0.01665034280117532","0.22918707149853085"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","69","0.7507360157016683","0.016683022571148183","0.2325809617271835"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","70","0.753921568627451","0.016666666666666666","0.22941176470588234"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","71","0.7549019607843137","0.016666666666666666","0.2284313725490196"
"1","0.002","0.024","0.05","1","0.5","0.9","0.1","2801","0.048","1000","false","72","0.7575757575757576","0.016617790811339198","0.22580645161290322"
